publish_date,weekday,slot,slot_job,brief_id,pillar,brief_file,output_file,url,working_h1,primary_query,word_target,affiliate,author,freshness_tier,content_type,status,drafted_on,reviewed_by,published_on,quality_passed_on,image_generated_on,notes
2027-03-11,Thu,D2027-10,weekly dispatch,D2027-10,P9,briefs/templates/dispatch.md,output/dispatch-2027-10.md,/journal/news/dispatch/2027-10/,"Moganshan dispatch, week 10",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-03-13,Sat,061,core editorial,061,P7,briefs/2027-03-13-moganshan-for-solo-travellers.md,output/moganshan-for-solo-travellers.md,/itineraries/moganshan-for-solo-travellers/,Moganshan for solo travellers,moganshan solo travel,1500,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-03-16,Tue,062,core editorial,062,P4,briefs/2027-03-16-picking-tea-on-moganshan.md,output/picking-tea-on-moganshan.md,/things-to-do/picking-tea-on-moganshan/,Picking tea on Moganshan: the two weeks that matter,tea picking experience china,1600,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-18,Thu,D2027-11,weekly dispatch,D2027-11,P9,briefs/templates/dispatch.md,output/dispatch-2027-11.md,/journal/news/dispatch/2027-11/,"Moganshan dispatch, week 11",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-03-19,Fri,063,core editorial,063,P3,briefs/2027-03-19-cycling-the-foreign-flavour-loop.md,output/cycling-the-foreign-flavour-loop.md,/things-to-do/cycling-the-foreign-flavour-loop/,Cycling the foreign-flavour loop,cycling moganshan,1600,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-22,Mon,064,core editorial,064,P8,briefs/2027-03-22-xiazhu-lake.md,output/xiazhu-lake.md,/moganshan/xiazhu-lake/,"Xiazhu Lake: crested ibis, reeds, and the boat",xiazhu lake deqing,1500,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-25,Thu,065,core editorial,065,P3,briefs/2027-03-25-ultra-trail-mogan-by-utmb.md,output/ultra-trail-mogan-by-utmb.md,/things-to-do/ultra-trail-mogan-by-utmb/,"Ultra-Trail Mogan by UTMB: the race, the routes, the weekend",utmb moganshan,1800,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-03-25,Thu,D2027-12,weekly dispatch,D2027-12,P9,briefs/templates/dispatch.md,output/dispatch-2027-12.md,/journal/news/dispatch/2027-12/,"Moganshan dispatch, week 12",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-03-28,Sun,066,core editorial,066,P5,briefs/2027-03-28-republic-villa-walking-route.md,output/republic-villa-walking-route.md,/journal/republic-villa-walking-route/,Republic villa walking route: which ones you can actually enter,moganshan villas walking tour,1800,go/tickets-moganshan,cyril-drouin,evergreen,Article,not_started,,,,,,
2027-03-31,Wed,067,core editorial,067,P7,briefs/2027-03-31-moganshan-on-a-budget.md,output/moganshan-on-a-budget.md,/itineraries/moganshan-on-a-budget/,Moganshan on a budget: the honest cheap version,moganshan budget,1600,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-04-01,Thu,D2027-13,weekly dispatch,D2027-13,P9,briefs/templates/dispatch.md,output/dispatch-2027-13.md,/journal/news/dispatch/2027-13/,"Moganshan dispatch, week 13",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-04-03,Sat,068,core editorial,068,P8,briefs/2027-04-03-xinshi-ancient-town.md,output/xinshi-ancient-town.md,/moganshan/xinshi-ancient-town/,Xinshi ancient town: the water town nobody queues for,xinshi ancient town deqing,1400,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-04-06,Tue,069,core editorial,069,P6,briefs/2027-04-06-hydrangea-season-and-the-photograph-everyone-takes.md,output/hydrangea-season-and-the-photograph-everyone-takes.md,/seasons/hydrangea-season-and-the-photograph-everyone-takes/,Hydrangea season and the photograph everyone takes,moganshan hydrangea,1100,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-04-08,Thu,D2027-14,weekly dispatch,D2027-14,P9,briefs/templates/dispatch.md,output/dispatch-2027-14.md,/journal/news/dispatch/2027-14/,"Moganshan dispatch, week 14",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-04-09,Fri,070,core editorial,070,P4,briefs/2027-04-09-where-to-get-coffee-on-moganshan.md,output/where-to-get-coffee-on-moganshan.md,/things-to-do/where-to-get-coffee-on-moganshan/,Where to get coffee on Moganshan: the full list,moganshan coffee,1800,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-04-12,Mon,071,core editorial,071,P9,briefs/2027-04-12-world-brand-moganshan-conference.md,output/world-brand-moganshan-conference.md,/journal/world-brand-moganshan-conference/,The World Brand Moganshan Conference: why hotel rooms vanish in May,world brand moganshan conference,1300,go/stays-all,cyril-drouin,evergreen,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
2027-04-15,Thu,072,core editorial,072,P6,briefs/2027-04-15-labour-day-on-moganshan.md,output/labour-day-on-moganshan.md,/seasons/labour-day-on-moganshan/,Labour Day on Moganshan: five days you probably want to avoid,moganshan labour day,1300,go/stays-all,liyan-ye,volatile,Article,not_started,,,,,,
2027-04-15,Thu,D2027-15,weekly dispatch,D2027-15,P9,briefs/templates/dispatch.md,output/dispatch-2027-15.md,/journal/news/dispatch/2027-15/,"Moganshan dispatch, week 15",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-04-18,Sun,073,core editorial,073,P6,briefs/2027-04-18-fireflies-at-beihu.md,output/fireflies-at-beihu.md,/seasons/fireflies-at-beihu/,"Fireflies at Beihu: the season, the booking, the etiquette",fireflies china,1500,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-04-21,Wed,074,core editorial,074,P1,briefs/2027-04-21-toilets-water-and-what-to-carry-on.md,output/toilets-water-and-what-to-carry-on.md,/plan/toilets-water-and-what-to-carry-on/,"Toilets, water and what to carry on the Moganshan paths",moganshan hiking what to bring,900,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2027-04-22,Thu,D2027-16,weekly dispatch,D2027-16,P9,briefs/templates/dispatch.md,output/dispatch-2027-16.md,/journal/news/dispatch/2027-16/,"Moganshan dispatch, week 16",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-04-24,Sat,075,core editorial,075,P2,briefs/2027-04-24-le-passage-mohkan-shan.md,output/le-passage-mohkan-shan.md,/where-to-stay/le-passage-mohkan-shan/,Le Passage Mohkan Shan: a French chateau on a Chinese mountain,le passage mohkan shan,1400,go/stay-le-passage-mohkan-shan,echo-peng,semi-stable,Article,not_started,,,,,,
2027-04-27,Tue,076,core editorial,076,P7,briefs/2027-04-27-moganshan-vs-nanxun.md,output/moganshan-vs-nanxun.md,/itineraries/moganshan-vs-nanxun/,Moganshan vs Nanxun: two versions of quiet,moganshan vs nanxun,1500,go/stays-all,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-04-29,Thu,D2027-17,weekly dispatch,D2027-17,P9,briefs/templates/dispatch.md,output/dispatch-2027-17.md,/journal/news/dispatch/2027-17/,"Moganshan dispatch, week 17",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-04-30,Fri,077,core editorial,077,P3,briefs/2027-04-30-rafting-season.md,output/rafting-season.md,/things-to-do/rafting-season/,Rafting season: the three runs and which is which,moganshan rafting,1500,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-05-03,Mon,078,core editorial,078,P3,briefs/2027-05-03-camping-and-glamping-on-moganshan.md,output/camping-and-glamping-on-moganshan.md,/things-to-do/camping-and-glamping-on-moganshan/,Camping and glamping on Moganshan,moganshan camping,1700,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-05-06,Thu,079,core editorial,079,P5,briefs/2027-05-06-republic-library-at-yucun.md,output/republic-library-at-yucun.md,/journal/republic-library-at-yucun/,"The Republic library at Yucun: 20,000 issues, free entry",moganshan republic library,1100,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2027-05-06,Thu,D2027-18,weekly dispatch,D2027-18,P9,briefs/templates/dispatch.md,output/dispatch-2027-18.md,/journal/news/dispatch/2027-18/,"Moganshan dispatch, week 18",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-05-09,Sun,080,core editorial,080,P3,briefs/2027-05-09-canyoning-at-fatou-gorge.md,output/canyoning-at-fatou-gorge.md,/things-to-do/canyoning-at-fatou-gorge/,Canyoning at Fatou gorge: the summer water play locals do,moganshan canyoning,1400,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-05-12,Wed,081,core editorial,081,P7,briefs/2027-05-12-moganshan-for-older-travellers.md,output/moganshan-for-older-travellers.md,/itineraries/moganshan-for-older-travellers/,Moganshan for older travellers,moganshan for seniors,1400,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-05-13,Thu,D2027-19,weekly dispatch,D2027-19,P9,briefs/templates/dispatch.md,output/dispatch-2027-19.md,/journal/news/dispatch/2027-19/,"Moganshan dispatch, week 19",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-05-15,Sat,082,core editorial,082,P2,briefs/2027-05-15-naked-stables-fifteen-years-on.md,output/naked-stables-fifteen-years-on.md,/where-to-stay/naked-stables-fifteen-years-on/,"naked Stables, fifteen years on",naked stables review,1900,go/stay-naked-stables,echo-peng,semi-stable,Article,not_started,,,,,,
2027-05-18,Tue,083,core editorial,083,P1,briefs/2027-05-18-drone-rules-in-the-scenic-area.md,output/drone-rules-in-the-scenic-area.md,/plan/drone-rules-in-the-scenic-area/,Drone rules in the scenic area,drone china scenic area,1000,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2027-05-20,Thu,D2027-20,weekly dispatch,D2027-20,P9,briefs/templates/dispatch.md,output/dispatch-2027-20.md,/journal/news/dispatch/2027-20/,"Moganshan dispatch, week 20",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-05-21,Fri,084,core editorial,084,P6,briefs/2027-05-21-summer-nights.md,output/summer-nights.md,/seasons/summer-nights/,"Summer nights: the light shows, the drones, the extended shuttles",moganshan at night,1500,go/tickets-moganshan,liyan-ye,volatile,Article,not_started,,,,,,
2027-05-24,Mon,085,core editorial,085,P6,briefs/2027-05-24-escaping-the-heat.md,output/escaping-the-heat.md,/seasons/escaping-the-heat/,Escaping the heat: why Moganshan is 6 to 10 degrees cooler,moganshan summer,1400,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-05-27,Thu,086,core editorial,086,P8,briefs/2027-05-27-tianji-sengu.md,output/tianji-sengu.md,/moganshan/tianji-sengu/,"Tianji Sengu: luge, bungee and the 68-metre tower",tianji sengu deqing,1400,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-05-27,Thu,D2027-21,weekly dispatch,D2027-21,P9,briefs/templates/dispatch.md,output/dispatch-2027-21.md,/journal/news/dispatch/2027-21/,"Moganshan dispatch, week 21",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-05-30,Sun,087,core editorial,087,P1,briefs/2027-05-30-mosquitoes-leeches-and-snakes.md,output/mosquitoes-leeches-and-snakes.md,/plan/mosquitoes-leeches-and-snakes/,"Mosquitoes, leeches and snakes: what's real, month by month",moganshan mosquitoes,1100,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2027-06-02,Wed,088,core editorial,088,P7,briefs/2027-06-02-moganshan-for-remote-work.md,output/moganshan-for-remote-work.md,/itineraries/moganshan-for-remote-work/,"Moganshan for remote work: the digital nomad experiment, honestly",digital nomad china,1700,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-06-03,Thu,D2027-22,weekly dispatch,D2027-22,P9,briefs/templates/dispatch.md,output/dispatch-2027-22.md,/journal/news/dispatch/2027-22/,"Moganshan dispatch, week 22",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-06-05,Sat,089,core editorial,089,P8,briefs/2027-06-05-jiangnan-yaowu-and-the-night-rafting.md,output/jiangnan-yaowu-and-the-night-rafting.md,/moganshan/jiangnan-yaowu-and-the-night-rafting/,Jiangnan Yaowu and the night rafting,jiangnan yaowu deqing,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-06-08,Tue,090,core editorial,090,P6,briefs/2027-06-08-summer-weekends.md,output/summer-weekends.md,/seasons/summer-weekends/,Summer weekends: when the tour buses arrive,moganshan crowds,1200,no affiliate,liyan-ye,volatile,Article,not_started,,,,,,
2027-06-10,Thu,D2027-23,weekly dispatch,D2027-23,P9,briefs/templates/dispatch.md,output/dispatch-2027-23.md,/journal/news/dispatch/2027-23/,"Moganshan dispatch, week 23",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-06-11,Fri,091,core editorial,091,P4,briefs/2027-06-11-farmhouse-food.md,output/farmhouse-food.md,/things-to-do/farmhouse-food/,Farmhouse food: what nongjiacai actually means here,nongjiacai,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-06-14,Mon,092,core editorial,092,P7,briefs/2027-06-14-moganshan-with-a-toddler.md,output/moganshan-with-a-toddler.md,/itineraries/moganshan-with-a-toddler/,Moganshan with a toddler: stroller routes and the ones to skip,moganshan with toddler,1300,go/stays-all,echo-peng,semi-stable,Article,not_started,,,,,,
2027-06-17,Thu,093,core editorial,093,P2,briefs/2027-06-17-biwu.md,output/biwu.md,/moganshan/villages/biwu/,Biwu: the hamlet that started the design-homestay wave,biwu moganshan,1400,go/stays-village-biwu,echo-peng,semi-stable,Village,not_started,,,,,,
2027-06-17,Thu,D2027-24,weekly dispatch,D2027-24,P9,briefs/templates/dispatch.md,output/dispatch-2027-24.md,/journal/news/dispatch/2027-24/,"Moganshan dispatch, week 24",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-06-20,Sun,094,core editorial,094,P4,briefs/2027-06-20-shaobing-and-chagao.md,output/shaobing-and-chagao.md,/things-to-do/shaobing-and-chagao/,Shaobing and chagao: breakfast on the mountain,chinese breakfast moganshan,1000,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-06-23,Wed,095,core editorial,095,P5,briefs/2027-06-23-zhaijidi-reform.md,output/zhaijidi-reform.md,/journal/zhaijidi-reform/,The zhaijidi reform: how villagers were allowed to lease their houses,china rural land reform homestay,2200,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2027-06-24,Thu,D2027-25,weekly dispatch,D2027-25,P9,briefs/templates/dispatch.md,output/dispatch-2027-25.md,/journal/news/dispatch/2027-25/,"Moganshan dispatch, week 25",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-06-26,Sat,096,core editorial,096,P3,briefs/2027-06-26-yangshulin-loop.md,output/yangshulin-loop.md,/things-to-do/yangshulin-loop/,Yangshulin loop: the flat walk that works with a pushchair,moganshan easy walk with kids,1100,no affiliate,liyan-ye,semi-stable,Trail,not_started,,,,,,
2027-06-29,Tue,097,core editorial,097,P7,briefs/2027-06-29-moganshan-vs-xitang.md,output/moganshan-vs-xitang.md,/itineraries/moganshan-vs-xitang/,Moganshan vs Xitang,moganshan vs xitang,1400,go/stays-all,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-07-01,Thu,D2027-26,weekly dispatch,D2027-26,P9,briefs/templates/dispatch.md,output/dispatch-2027-26.md,/journal/news/dispatch/2027-26/,"Moganshan dispatch, week 26",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-07-02,Fri,098,core editorial,098,P8,briefs/2027-07-02-deqing-beyond-the-mountain.md,output/deqing-beyond-the-mountain.md,/moganshan/deqing-beyond-the-mountain/,Deqing beyond the mountain: a day in Qianyuan,qianyuan deqing old town,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-07-05,Mon,099,core editorial,099,P6,briefs/2027-07-05-star-camping-and-night-rides.md,output/star-camping-and-night-rides.md,/seasons/star-camping-and-night-rides/,Star camping and night rides: the summer programme,moganshan stargazing,1200,go/stays-all,liyan-ye,volatile,Article,not_started,,,,,,
2027-07-08,Thu,100,core editorial,100,P6,briefs/2027-07-08-where-the-tour-groups-go-and-how.md,output/where-the-tour-groups-go-and-how.md,/seasons/where-the-tour-groups-go-and-how/,"Where the tour groups go, and how to be an hour ahead",avoid crowds moganshan,1300,no affiliate,liyan-ye,volatile,Article,not_started,,,,,,
2027-07-08,Thu,D2027-27,weekly dispatch,D2027-27,P9,briefs/templates/dispatch.md,output/dispatch-2027-27.md,/journal/news/dispatch/2027-27/,"Moganshan dispatch, week 27",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-07-11,Sun,101,core editorial,101,P8,briefs/2027-07-11-xiangyue-lake.md,output/xiangyue-lake.md,/moganshan/xiangyue-lake/,"Xiangyue Lake: roses, horses and chestnuts",xiangyue lake deqing,1200,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-07-14,Wed,102,core editorial,102,P3,briefs/2027-07-14-moganshan-sunrise.md,output/moganshan-sunrise.md,/things-to-do/moganshan-sunrise/,"Moganshan sunrise: the terrace, the gate, and the workaround",moganshan sunrise,1200,go/stays-all,liyan-ye,semi-stable,Trail,not_started,,,,,,
2027-07-15,Thu,D2027-28,weekly dispatch,D2027-28,P9,briefs/templates/dispatch.md,output/dispatch-2027-28.md,/journal/news/dispatch/2027-28/,"Moganshan dispatch, week 28",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-07-17,Sat,103,core editorial,103,P9,briefs/2027-07-17-summer-season-programme.md,output/summer-season-programme.md,/journal/summer-season-programme/,"The summer season programme: 100 events, decoded",moganshan summer events,1500,go/stays-all,cyril-drouin,volatile,Article,not_started,,,,,,Diary item: confirm the source document has appeared before drafting.
2027-07-20,Tue,104,core editorial,104,P2,briefs/2027-07-20-naked-castle-vs-naked-stables-vs-naked.md,output/naked-castle-vs-naked-stables-vs-naked.md,/where-to-stay/naked-castle-vs-naked-stables-vs-naked/,naked Castle vs naked Stables vs naked Retreats,naked castle vs naked stables,1600,go/stay-naked-castle + go/stay-naked-stables,echo-peng,semi-stable,Article,not_started,,,,,,
2027-07-22,Thu,D2027-29,weekly dispatch,D2027-29,P9,briefs/templates/dispatch.md,output/dispatch-2027-29.md,/journal/news/dispatch/2027-29/,"Moganshan dispatch, week 29",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-07-23,Fri,105,core editorial,105,P5,briefs/2027-07-23-dressing-up.md,output/dressing-up.md,/journal/dressing-up/,Dressing up: the qipao photo shoot industry,moganshan photography,1300,no affiliate,cyril-drouin,evergreen,Article,not_started,,,,,,
2027-07-26,Mon,106,core editorial,106,P6,briefs/2027-07-26-rainbow-road-and-the-fish-scale-weir.md,output/rainbow-road-and-the-fish-scale-weir.md,/seasons/rainbow-road-and-the-fish-scale-weir/,The rainbow road and the fish-scale weir,moganshan photo spots,1200,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-07-29,Thu,107,core editorial,107,P7,briefs/2027-07-29-moganshan-vs-zhujiajiao.md,output/moganshan-vs-zhujiajiao.md,/itineraries/moganshan-vs-zhujiajiao/,"Moganshan vs Zhujiajiao: near and easy, or far and worth it",moganshan vs zhujiajiao,1400,go/train-shanghai-deqing,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-07-29,Thu,D2027-30,weekly dispatch,D2027-30,P9,briefs/templates/dispatch.md,output/dispatch-2027-30.md,/journal/news/dispatch/2027-30/,"Moganshan dispatch, week 30",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-08-01,Sun,108,core editorial,108,P4,briefs/2027-08-01-eating-without-mandarin.md,output/eating-without-mandarin.md,/things-to-do/eating-without-mandarin/,"Eating without Mandarin: menus, apps and the picture problem",ordering food in china no chinese,1400,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-04,Wed,109,core editorial,109,P2,briefs/2027-08-04-liaoyuan.md,output/liaoyuan.md,/moganshan/villages/liaoyuan/,Liaoyuan and the 1932 cultural park,liaoyuan village moganshan,1300,no affiliate,echo-peng,semi-stable,Village,not_started,,,,,,
2027-08-05,Thu,D2027-31,weekly dispatch,D2027-31,P9,briefs/templates/dispatch.md,output/dispatch-2027-31.md,/journal/news/dispatch/2027-31/,"Moganshan dispatch, week 31",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-08-07,Sat,110,core editorial,110,P8,briefs/2027-08-07-anji-in-two-days-from-moganshan.md,output/anji-in-two-days-from-moganshan.md,/moganshan/anji-in-two-days-from-moganshan/,Anji in two days from Moganshan,anji from moganshan,1700,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-10,Tue,111,core editorial,111,P4,briefs/2027-08-10-vegetarian-vegan-and-allergies-on-moganshan.md,output/vegetarian-vegan-and-allergies-on-moganshan.md,/things-to-do/vegetarian-vegan-and-allergies-on-moganshan/,"Vegetarian, vegan and allergies on Moganshan",vegetarian china travel,1300,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-12,Thu,D2027-32,weekly dispatch,D2027-32,P9,briefs/templates/dispatch.md,output/dispatch-2027-32.md,/journal/news/dispatch/2027-32/,"Moganshan dispatch, week 32",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-08-13,Fri,112,core editorial,112,P3,briefs/2027-08-13-guaishijiao-dakeng-and-the-sights-not-worth.md,output/guaishijiao-dakeng-and-the-sights-not-worth.md,/things-to-do/guaishijiao-dakeng-and-the-sights-not-worth/,"Guaishijiao, Dakeng and the sights not worth your afternoon",moganshan what to skip,1300,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-16,Mon,113,core editorial,113,P4,briefs/2027-08-16-buying-tea-to-take-home.md,output/buying-tea-to-take-home.md,/things-to-do/buying-tea-to-take-home/,Buying tea to take home: what's worth carrying,buy chinese tea moganshan,1200,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-19,Thu,114,core editorial,114,P3,briefs/2027-08-19-spartan-base-at-jun-an-li.md,output/spartan-base-at-jun-an-li.md,/things-to-do/spartan-base-at-jun-an-li/,The Spartan base at Jun An Li,spartan race china,1400,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-19,Thu,D2027-33,weekly dispatch,D2027-33,P9,briefs/templates/dispatch.md,output/dispatch-2027-33.md,/journal/news/dispatch/2027-33/,"Moganshan dispatch, week 33",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-08-22,Sun,115,core editorial,115,P8,briefs/2027-08-22-hangzhou-in-two-days-after-the-mountain.md,output/hangzhou-in-two-days-after-the-mountain.md,/moganshan/hangzhou-in-two-days-after-the-mountain/,"Hangzhou in two days, after the mountain",hangzhou after moganshan,1700,go/train-hangzhou-deqing,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-08-25,Wed,116,core editorial,116,P7,briefs/2027-08-25-moganshan-vs-tonglu.md,output/moganshan-vs-tonglu.md,/itineraries/moganshan-vs-tonglu/,Moganshan vs Tonglu,moganshan vs tonglu,1200,go/stays-all,echo-peng,semi-stable,Comparison,not_started,,,,,,
2027-08-26,Thu,D2027-34,weekly dispatch,D2027-34,P9,briefs/templates/dispatch.md,output/dispatch-2027-34.md,/journal/news/dispatch/2027-34/,"Moganshan dispatch, week 34",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-08-28,Sat,117,core editorial,117,P1,briefs/2027-08-28-health-pharmacies-and-what-happens-if-youre.md,output/health-pharmacies-and-what-happens-if-youre.md,/plan/health-pharmacies-and-what-happens-if-youre/,"Health, pharmacies and what happens if you're hurt on a trail",medical care rural china,1400,no affiliate,cyril-drouin,volatile,Article,not_started,,,,,,
2027-08-31,Tue,118,core editorial,118,P6,briefs/2027-08-31-autumn-on-moganshan.md,output/autumn-on-moganshan.md,/seasons/autumn-on-moganshan/,Autumn on Moganshan: the connoisseur's month is September,moganshan september,1500,go/stays-all,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-09-02,Thu,D2027-35,weekly dispatch,D2027-35,P9,briefs/templates/dispatch.md,output/dispatch-2027-35.md,/journal/news/dispatch/2027-35/,"Moganshan dispatch, week 35",moganshan news,750,no affiliate,cyril-drouin,volatile,Dispatch,not_started,,,,,,Wednesday sweep per sources/source-tiers.md. A week with nothing material is still a dispatch.
2027-09-03,Fri,119,core editorial,119,P1,briefs/2027-09-03-hangzhou-deqing-rail-line.md,output/hangzhou-deqing-rail-line.md,/plan/hangzhou-deqing-rail-line/,The Hangzhou-Deqing rail line: what an hour without transfers changes,hangzhou deqing rail,1600,go/train-hangzhou-deqing,cyril-drouin,volatile,Article,not_started,,,,,,
2027-09-06,Mon,120,core editorial,120,P4,briefs/2027-09-06-souvenirs.md,output/souvenirs.md,/things-to-do/souvenirs/,"Souvenirs: bamboo, tea, and what's actually made here",moganshan souvenirs,1200,no affiliate,liyan-ye,semi-stable,Article,not_started,,,,,,
2027-09-09,Thu,121,core editorial,121,P8,briefs/2027-09-09-shanghai-in-three-days-before-or-after.md,output/shanghai-in-three-days-before-or-after.md,/moganshan/shanghai-in-three-days-before-or-after/,"Shanghai in three days, before or after",shanghai and moganshan itinerary,1800,go/train-shanghai-deqing,liyan-ye,semi-stable,Article,not_started,,,,,,
